Response,SortOrder,SelectionGroup,Selection,Value,MinMiddleMax
1.0-1.49%,2,Company Size,100-749 Employees,2.88,Min
1.5-2.49%,3,Company Size,100-749 Employees,3.84,Middle
3.01-3.49%,7,Company Size,100-749 Employees,4.22,Middle
Less than 1%,1,Company Size,100-749 Employees,4.22,Middle
More than 5%,10,Company Size,100-749 Employees,4.22,Middle
3.5-3.99%,8,Company Size,100-749 Employees,4.41,Middle
4.0-5.0%,9,Company Size,100-749 Employees,6.91,Middle
2.5-2.99%,5,Company Size,100-749 Employees,11.13,Middle
Undecided,11,Company Size,100-749 Employees,11.13,Middle
2.0-2.49%,4,Company Size,100-749 Employees,16.31,Middle
3.00%,6,Company Size,100-749 Employees,30.71,Max
3.5-3.99%,8,Company Size,1-99 Employees,3.39,Min
3.01-3.49%,7,Company Size,1-99 Employees,3.54,Middle
1.5-2.49%,3,Company Size,1-99 Employees,4.13,Middle
1.0-1.49%,2,Company Size,1-99 Employees,4.87,Middle
More than 5%,10,Company Size,1-99 Employees,5.16,Middle
2.5-2.99%,5,Company Size,1-99 Employees,7.08,Middle
Less than 1%,1,Company Size,1-99 Employees,9.59,Middle
4.0-5.0%,9,Company Size,1-99 Employees,10.47,Middle
2.0-2.49%,4,Company Size,1-99 Employees,12.98,Middle
Undecided,11,Company Size,1-99 Employees,16.37,Middle
3.00%,6,Company Size,1-99 Employees,22.42,Max
More than 5%,10,Company Size,"5,000 or More Employees",1.42,Min
1.0-1.49%,2,Company Size,"5,000 or More Employees",2.37,Middle
3.5-3.99%,8,Company Size,"5,000 or More Employees",2.84,Middle
1.5-2.49%,3,Company Size,"5,000 or More Employees",3.32,Middle
4.0-5.0%,9,Company Size,"5,000 or More Employees",3.32,Middle
3.01-3.49%,7,Company Size,"5,000 or More Employees",7.11,Middle
Undecided,11,Company Size,"5,000 or More Employees",7.11,Middle
Less than 1%,1,Company Size,"5,000 or More Employees",8.06,Middle
2.0-2.49%,4,Company Size,"5,000 or More Employees",18.01,Middle
2.5-2.99%,5,Company Size,"5,000 or More Employees",18.01,Middle
3.00%,6,Company Size,"5,000 or More Employees",28.44,Max
1.0-1.49%,2,Company Size,"750-4,999 Employees",1.91,Min
More than 5%,10,Company Size,"750-4,999 Employees",2.67,Middle
